Код,"Наименование специальности, направление подготовки",Уровень образования,Реализуемые формы обучения,Описание ООП,Учебный план,Аннотации рабочих программ дисциплин с приложением копий,Календарный учебный график,Методические и иные документы,Информации о практиках,Использование электронного обучения
09.06.01,"Информатика и вычислительная техника (направленность ""Теоретические основы информатики"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358899/%D0%9E%D0%9E%D0%9F_40.06.01_%D0%AE%D1%80%D0%B8%D1%81%D0%BF%D1%80%D1%83%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%93%D1%80%D0%B0%D0%B6%D0%B4%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D1%81%3B%20%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D1%80%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D1%81_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Теоретические основы информатики"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358870/%D0%9E%D0%9E%D0%9F_40.06.01_%D0%AE%D1%80%D0%B8%D1%81%D0%BF%D1%80%D1%83%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%93%D1%80%D0%B0%D0%B6%D0%B4%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D1%81%3B%20%D0%B0%D1%80%D0%B1%D0%B8%D1%82%D1%80%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D1%81_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Теоретические основы информатики"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1357544/%D0%9E%D0%9E%D0%9F%20%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D0%9A%D0%9F_40.06.01_2020-2021%20%D0%B0%D1%81%D0%BF%D0%B8%D1%80%D0%B0%D0%BD%D1%82%D1%83%D1%80%D0%B0.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Теоретические основы информатики"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1356942/%D0%9E%D0%9E%D0%9F_%20%D0%9A%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0%2040.06.01_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%BE%D0%B5_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Управление в социальных и экономических системах"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358327/40.06.01_%D0%9E%D0%9E%D0%9F_%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%3B%20%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Управление в социальных и экономических системах"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358298/40.06.01_%D0%9E%D0%9E%D0%9F_%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%3B%20%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE_2020_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Управление в социальных и экономических системах"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358957/%D0%9E%D0%9E%D0%9F_40.06.01_%D0%AE%D1%80%D0%B8%D1%81%D0%BF%D1%80%D1%83%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%20%D0%B8%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B0.docx%3B%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B9%20%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%BE%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B5%20%D0%B8%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Управление в социальных и экономических системах"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1358928/%D0%9E%D0%9E%D0%9F_40.06.01_%D0%AE%D1%80%D0%B8%D1%81%D0%BF%D1%80%D1%83%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%20%D0%B8%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B0%3B%20%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B9%20%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%BE%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B5%20%D0%B8%20%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
11.06.01,"Электроника, радиотехника и системы связи (направленность ""Твердотельная электроника, радиоэлектронные компоненты, микро- и нано…"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1369155/%D0%9E%D0%9E%D0%9F_40.06.01_%D0%AE%D1%80%D0%B8%D1%81%D0%BF%D1%80%D1%83%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%8F_%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%20%D0%B8%20%D0%BA%D1%80%D0%B8%D0%BC%D0%B8%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%3B%20%D1%83%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%BE-%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5%20%D0%BF%D1%80%D0%B0%D0%B2%D0%BE_%D0%9E%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Нет,Нет
11.06.01,"Электроника, радиотехника и системы связи (направленность ""Твердотельная электроника, радиоэлектронные компоненты, микро- и нано…"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1364003/%D0%9E%D0%9E%D0%9F%20%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F%2040.06.01%202020-2021.pdf,Уч. план АОП,Нет,Уч. график АОП,Нет,Нет,Нет
